,Unnamed: 0,0,no_contract,fix_str,langs,tokenized,lower,no_punc,stopwords_removed,pos_tags,wordnet_pos,lemmatized
23,23,septianti,['septianti'],septianti,it,['septianti'],['septianti'],['septianti'],['septianti'],"[('septianti', 'NN')]","[('septianti', 'n')]",['septianti']
24,24,cicilia,['cicilia'],cicilia,wa,['cicilia'],['cicilia'],['cicilia'],['cicilia'],"[('cicilia', 'NNS')]","[('cicilia', 'n')]",['cicilia']
27,27,omgt,['omgt'],omgt,sv,['omgt'],['omgt'],['omgt'],['omgt'],"[('omgt', 'NN')]","[('omgt', 'n')]",['omgt']
28,28,hardanas,['hardanas'],hardanas,lt,['hardanas'],['hardanas'],['hardanas'],['hardanas'],"[('hardanas', 'NNS')]","[('hardanas', 'n')]",['hardanas']
30,30,dzrt,['dzrt'],dzrt,hr,['dzrt'],['dzrt'],['dzrt'],['dzrt'],"[('dzrt', 'NN')]","[('dzrt', 'n')]",['dzrt']
31,31,arnius,['arnius'],arnius,de,['arnius'],['arnius'],['arnius'],['arnius'],"[('arnius', 'NN')]","[('arnius', 'n')]",['arnius']
32,32,saparudin,['saparudin'],saparudin,ms,['saparudin'],['saparudin'],['saparudin'],['saparudin'],"[('saparudin', 'NN')]","[('saparudin', 'n')]",['saparudin']
33,33,vio,['vio'],vio,es,['vio'],['vio'],['vio'],['vio'],"[('vio', 'NN')]","[('vio', 'n')]",['vio']
34,34,ððð,['ððð'],ððð,hu,['ððð'],['ððð'],['ððð'],['ððð'],"[('ððð', 'NN')]","[('ððð', 'n')]",['ððð']
36,36,joni,['joni'],joni,fr,['joni'],['joni'],['joni'],['joni'],"[('joni', 'NN')]","[('joni', 'n')]",['joni']
37,37,ajaaaaaa,['ajaaaaaa'],ajaaaaaa,ms,['ajaaaaaa'],['ajaaaaaa'],['ajaaaaaa'],['ajaaaaaa'],"[('ajaaaaaa', 'NN')]","[('ajaaaaaa', 'n')]",['ajaaaaaa']
38,38,oot,['oot'],oot,af,['oot'],['oot'],['oot'],['oot'],"[('oot', 'NN')]","[('oot', 'n')]",['oot']
40,40,heriansyah,['heriansyah'],heriansyah,id,['heriansyah'],['heriansyah'],['heriansyah'],['heriansyah'],"[('heriansyah', 'NN')]","[('heriansyah', 'n')]",['heriansyah']
41,41,freddy,['freddy'],freddy,it,['freddy'],['freddy'],['freddy'],['freddy'],"[('freddy', 'NN')]","[('freddy', 'n')]",['freddy']
42,42,difla,['difla'],difla,es,['difla'],['difla'],['difla'],['difla'],"[('difla', 'NN')]","[('difla', 'n')]",['difla']
43,43,tagallahir,['tagallahir'],tagallahir,id,['tagallahir'],['tagallahir'],['tagallahir'],['tagallahir'],"[('tagallahir', 'NN')]","[('tagallahir', 'n')]",['tagallahir']
46,46,sool,['sool'],sool,af,['sool'],['sool'],['sool'],['sool'],"[('sool', 'NN')]","[('sool', 'n')]",['sool']
49,49,keasalahan,['keasalahan'],keasalahan,ms,['keasalahan'],['keasalahan'],['keasalahan'],['keasalahan'],"[('keasalahan', 'NN')]","[('keasalahan', 'n')]",['keasalahan']
50,50,efrinto,['efrinto'],efrinto,it,['efrinto'],['efrinto'],['efrinto'],['efrinto'],"[('efrinto', 'NN')]","[('efrinto', 'n')]",['efrinto']
54,54,tabri,['tabri'],tabri,tr,['tabri'],['tabri'],['tabri'],['tabri'],"[('tabri', 'NN')]","[('tabri', 'n')]",['tabri']
57,57,qonita,['qonita'],qonita,so,['qonita'],['qonita'],['qonita'],['qonita'],"[('qonita', 'NN')]","[('qonita', 'n')]",['qonita']
61,61,ynob,['ynob'],ynob,cy,['ynob'],['ynob'],['ynob'],['ynob'],"[('ynob', 'NN')]","[('ynob', 'n')]",['ynob']
62,62,alibaba,['alibaba'],alibaba,ce,['alibaba'],['alibaba'],['alibaba'],['alibaba'],"[('alibaba', 'NN')]","[('alibaba', 'n')]",['alibaba']
63,63,woe,['woe'],woe,bn,['woe'],['woe'],['woe'],['woe'],"[('woe', 'NN')]","[('woe', 'n')]",['woe']
64,64,syaid,['syaid'],syaid,ms,['syaid'],['syaid'],['syaid'],['syaid'],"[('syaid', 'NN')]","[('syaid', 'n')]",['syaid']
65,65,nico,['nico'],nico,it,['nico'],['nico'],['nico'],['nico'],"[('nico', 'NN')]","[('nico', 'n')]",['nico']
66,66,ammel,['ammel'],ammel,it,['ammel'],['ammel'],['ammel'],['ammel'],"[('ammel', 'NN')]","[('ammel', 'n')]",['ammel']
67,67,donlotnya,['donlotnya'],donlotnya,pl,['donlotnya'],['donlotnya'],['donlotnya'],['donlotnya'],"[('donlotnya', 'NN')]","[('donlotnya', 'n')]",['donlotnya']
68,68,glamindia,['glamindia'],glamindia,hu,['glamindia'],['glamindia'],['glamindia'],['glamindia'],"[('glamindia', 'NN')]","[('glamindia', 'n')]",['glamindia']
69,69,kwetan,['kwetan'],kwetan,sw,['kwetan'],['kwetan'],['kwetan'],['kwetan'],"[('kwetan', 'NN')]","[('kwetan', 'n')]",['kwetan']
70,70,kpye,['kpye'],kpye,nl,['kpye'],['kpye'],['kpye'],['kpye'],"[('kpye', 'NN')]","[('kpye', 'n')]",['kpye']
71,71,anisof,['anisof'],anisof,de,['anisof'],['anisof'],['anisof'],['anisof'],"[('anisof', 'NN')]","[('anisof', 'n')]",['anisof']
72,72,ignatius,['ignatius'],ignatius,id,['ignatius'],['ignatius'],['ignatius'],['ignatius'],"[('ignatius', 'NN')]","[('ignatius', 'n')]",['ignatius']
73,73,colo,['colo'],colo,it,['colo'],['colo'],['colo'],['colo'],"[('colo', 'NN')]","[('colo', 'n')]",['colo']
75,75,rahmatika,['rahmatika'],rahmatika,sl,['rahmatika'],['rahmatika'],['rahmatika'],['rahmatika'],"[('rahmatika', 'NN')]","[('rahmatika', 'n')]",['rahmatika']
76,76,juadi,['juadi'],juadi,es,['juadi'],['juadi'],['juadi'],['juadi'],"[('juadi', 'NN')]","[('juadi', 'n')]",['juadi']
77,77,priki,['priki'],priki,hr,['priki'],['priki'],['priki'],['priki'],"[('priki', 'NN')]","[('priki', 'n')]",['priki']
78,78,serach,['serach'],serach,fr,['serach'],['serach'],['serach'],['serach'],"[('serach', 'NN')]","[('serach', 'n')]",['serach']
79,79,pinrang,['pinrang'],pinrang,la,['pinrang'],['pinrang'],['pinrang'],['pinrang'],"[('pinrang', 'NN')]","[('pinrang', 'n')]",['pinrang']
80,80,wjib,['wjib'],wjib,ta,['wjib'],['wjib'],['wjib'],['wjib'],"[('wjib', 'NN')]","[('wjib', 'n')]",['wjib']
83,83,suebu,['suebu'],suebu,cs,['suebu'],['suebu'],['suebu'],['suebu'],"[('suebu', 'NN')]","[('suebu', 'n')]",['suebu']
84,84,asiapppppp,['asiapppppp'],asiapppppp,it,['asiapppppp'],['asiapppppp'],['asiapppppp'],['asiapppppp'],"[('asiapppppp', 'NN')]","[('asiapppppp', 'n')]",['asiapppppp']
86,86,ehm,['ehm'],ehm,de,['ehm'],['ehm'],['ehm'],['ehm'],"[('ehm', 'NN')]","[('ehm', 'n')]",['ehm']
88,88,woi,['woi'],woi,ba,['woi'],['woi'],['woi'],['woi'],"[('woi', 'NN')]","[('woi', 'n')]",['woi']
89,89,tittit,['tittit'],tittit,sq,['tittit'],['tittit'],['tittit'],['tittit'],"[('tittit', 'NN')]","[('tittit', 'n')]",['tittit']
90,90,kvision,['kvision'],kvision,sv,['kvision'],['kvision'],['kvision'],['kvision'],"[('kvision', 'NN')]","[('kvision', 'n')]",['kvision']
91,91,hassayn,['hassayn'],hassayn,de,['hassayn'],['hassayn'],['hassayn'],['hassayn'],"[('hassayn', 'NN')]","[('hassayn', 'n')]",['hassayn']
92,92,kburu,['kburu'],kburu,eu,['kburu'],['kburu'],['kburu'],['kburu'],"[('kburu', 'NN')]","[('kburu', 'n')]",['kburu']
94,94,sdangkan,['sdangkan'],sdangkan,ms,['sdangkan'],['sdangkan'],['sdangkan'],['sdangkan'],"[('sdangkan', 'NN')]","[('sdangkan', 'n')]",['sdangkan']
99,99,dahhhh,['dahhhh'],dahhhh,tr,['dahhhh'],['dahhhh'],['dahhhh'],['dahhhh'],"[('dahhhh', 'NN')]","[('dahhhh', 'n')]",['dahhhh']
100,100,peradinta,['peradinta'],peradinta,ro,['peradinta'],['peradinta'],['peradinta'],['peradinta'],"[('peradinta', 'NN')]","[('peradinta', 'n')]",['peradinta']
101,101,blade,['blade'],blade,nl,['blade'],['blade'],['blade'],['blade'],"[('blade', 'NN')]","[('blade', 'n')]",['blade']
102,102,vinsensia,['vinsensia'],vinsensia,sv,['vinsensia'],['vinsensia'],['vinsensia'],['vinsensia'],"[('vinsensia', 'NN')]","[('vinsensia', 'n')]",['vinsensia']
104,104,yapo,['yapo'],yapo,tr,['yapo'],['yapo'],['yapo'],['yapo'],"[('yapo', 'NN')]","[('yapo', 'n')]",['yapo']
105,105,aida,['aida'],aida,fr,['aida'],['aida'],['aida'],['aida'],"[('aida', 'NN')]","[('aida', 'n')]",['aida']
106,106,esme,['esme'],esme,nl,['esme'],['esme'],['esme'],['esme'],"[('esme', 'NN')]","[('esme', 'n')]",['esme']
107,107,marnah,['marnah'],marnah,id,['marnah'],['marnah'],['marnah'],['marnah'],"[('marnah', 'NN')]","[('marnah', 'n')]",['marnah']
108,108,iklanya,['iklanya'],iklanya,id,['iklanya'],['iklanya'],['iklanya'],['iklanya'],"[('iklanya', 'NN')]","[('iklanya', 'n')]",['iklanya']
109,109,alfe,['alfe'],alfe,de,['alfe'],['alfe'],['alfe'],['alfe'],"[('alfe', 'NN')]","[('alfe', 'n')]",['alfe']
110,110,farizki,['farizki'],farizki,eu,['farizki'],['farizki'],['farizki'],['farizki'],"[('farizki', 'NN')]","[('farizki', 'n')]",['farizki']
111,111,kpn,['kpn'],kpn,bn,['kpn'],['kpn'],['kpn'],['kpn'],"[('kpn', 'NN')]","[('kpn', 'n')]",['kpn']
112,112,donwladnya,['donwladnya'],donwladnya,cy,['donwladnya'],['donwladnya'],['donwladnya'],['donwladnya'],"[('donwladnya', 'NN')]","[('donwladnya', 'n')]",['donwladnya']
113,113,soheri,['soheri'],soheri,es,['soheri'],['soheri'],['soheri'],['soheri'],"[('soheri', 'NN')]","[('soheri', 'n')]",['soheri']
114,114,trimaksi,['trimaksi'],trimaksi,fi,['trimaksi'],['trimaksi'],['trimaksi'],['trimaksi'],"[('trimaksi', 'NN')]","[('trimaksi', 'n')]",['trimaksi']
115,115,yensen,['yensen'],yensen,de,['yensen'],['yensen'],['yensen'],['yensen'],"[('yensen', 'NN')]","[('yensen', 'n')]",['yensen']
116,116,vilem,['vilem'],vilem,ms,['vilem'],['vilem'],['vilem'],['vilem'],"[('vilem', 'NN')]","[('vilem', 'n')]",['vilem']
117,117,suskse,['suskse'],suskse,fy,['suskse'],['suskse'],['suskse'],['suskse'],"[('suskse', 'NN')]","[('suskse', 'n')]",['suskse']
119,119,zirangga,['zirangga'],zirangga,id,['zirangga'],['zirangga'],['zirangga'],['zirangga'],"[('zirangga', 'NN')]","[('zirangga', 'n')]",['zirangga']
120,120,zulrais,['zulrais'],zulrais,pt,['zulrais'],['zulrais'],['zulrais'],['zulrais'],"[('zulrais', 'NN')]","[('zulrais', 'n')]",['zulrais']
122,122,mncvisioin,['mncvisioin'],mncvisioin,it,['mncvisioin'],['mncvisioin'],['mncvisioin'],['mncvisioin'],"[('mncvisioin', 'NN')]","[('mncvisioin', 'n')]",['mncvisioin']
123,123,enno,['enno'],enno,it,['enno'],['enno'],['enno'],['enno'],"[('enno', 'NN')]","[('enno', 'n')]",['enno']
125,125,terussss,['terussss'],terussss,eu,['terussss'],['terussss'],['terussss'],['terussss'],"[('terussss', 'NN')]","[('terussss', 'n')]",['terussss']
126,126,duluu,['duluu'],duluu,sl,['duluu'],['duluu'],['duluu'],['duluu'],"[('duluu', 'NN')]","[('duluu', 'n')]",['duluu']
127,127,bolehh,['bolehh'],bolehh,ms,['bolehh'],['bolehh'],['bolehh'],['bolehh'],"[('bolehh', 'NN')]","[('bolehh', 'n')]",['bolehh']
128,128,delvita,['delvita'],delvita,sv,['delvita'],['delvita'],['delvita'],['delvita'],"[('delvita', 'NN')]","[('delvita', 'n')]",['delvita']
129,129,krennnn,['krennnn'],krennnn,sr,['krennnn'],['krennnn'],['krennnn'],['krennnn'],"[('krennnn', 'NN')]","[('krennnn', 'n')]",['krennnn']
130,130,zawati,['zawati'],zawati,pl,['zawati'],['zawati'],['zawati'],['zawati'],"[('zawati', 'NN')]","[('zawati', 'n')]",['zawati']
131,131,aufaar,['aufaar'],aufaar,de,['aufaar'],['aufaar'],['aufaar'],['aufaar'],"[('aufaar', 'NN')]","[('aufaar', 'n')]",['aufaar']
133,133,biltara,['biltara'],biltara,fi,['biltara'],['biltara'],['biltara'],['biltara'],"[('biltara', 'NN')]","[('biltara', 'n')]",['biltara']
135,135,dipairing,['dipairing'],dipairing,id,['dipairing'],['dipairing'],['dipairing'],['dipairing'],"[('dipairing', 'VBG')]","[('dipairing', 'v')]",['dipairing']
136,136,nuhun,['nuhun'],nuhun,id,['nuhun'],['nuhun'],['nuhun'],['nuhun'],"[('nuhun', 'NN')]","[('nuhun', 'n')]",['nuhun']
139,139,siiifff,['siiifff'],siiifff,fi,['siiifff'],['siiifff'],['siiifff'],['siiifff'],"[('siiifff', 'NN')]","[('siiifff', 'n')]",['siiifff']
140,140,herdiyanti,['herdiyanti'],herdiyanti,tr,['herdiyanti'],['herdiyanti'],['herdiyanti'],['herdiyanti'],"[('herdiyanti', 'NN')]","[('herdiyanti', 'n')]",['herdiyanti']
144,144,aniesa,['aniesa'],aniesa,de,['aniesa'],['aniesa'],['aniesa'],['aniesa'],"[('aniesa', 'NN')]","[('aniesa', 'n')]",['aniesa']
145,145,jait,['jait'],jait,fr,['jait'],['jait'],['jait'],['jait'],"[('jait', 'NN')]","[('jait', 'n')]",['jait']
146,146,naic,['naic'],naic,gd,['naic'],['naic'],['naic'],['naic'],"[('naic', 'NN')]","[('naic', 'n')]",['naic']
148,148,hanief,['hanief'],hanief,nl,['hanief'],['hanief'],['hanief'],['hanief'],"[('hanief', 'NN')]","[('hanief', 'n')]",['hanief']
149,149,kaptol,['kaptol'],kaptol,pl,['kaptol'],['kaptol'],['kaptol'],['kaptol'],"[('kaptol', 'NN')]","[('kaptol', 'n')]",['kaptol']
153,153,dowlon,['dowlon'],dowlon,pl,['dowlon'],['dowlon'],['dowlon'],['dowlon'],"[('dowlon', 'NN')]","[('dowlon', 'n')]",['dowlon']
154,154,ketingggalan,['ketingggalan'],ketingggalan,id,['ketingggalan'],['ketingggalan'],['ketingggalan'],['ketingggalan'],"[('ketingggalan', 'NN')]","[('ketingggalan', 'n')]",['ketingggalan']
156,156,bjn,['bjn'],bjn,eo,['bjn'],['bjn'],['bjn'],['bjn'],"[('bjn', 'NN')]","[('bjn', 'n')]",['bjn']
157,157,mukri,['mukri'],mukri,fi,['mukri'],['mukri'],['mukri'],['mukri'],"[('mukri', 'NN')]","[('mukri', 'n')]",['mukri']
159,159,sud,['sud'],sud,fr,['sud'],['sud'],['sud'],['sud'],"[('sud', 'NN')]","[('sud', 'n')]",['sud']
160,160,oktoven,['oktoven'],oktoven,nl,['oktoven'],['oktoven'],['oktoven'],['oktoven'],"[('oktoven', 'RB')]","[('oktoven', 'r')]",['oktoven']
161,161,allandmg,['allandmg'],allandmg,de,['allandmg'],['allandmg'],['allandmg'],['allandmg'],"[('allandmg', 'NN')]","[('allandmg', 'n')]",['allandmg']
164,164,nrmawati,['nrmawati'],nrmawati,id,['nrmawati'],['nrmawati'],['nrmawati'],['nrmawati'],"[('nrmawati', 'NNS')]","[('nrmawati', 'n')]",['nrmawati']
165,165,dhina,['dhina'],dhina,kw,['dhina'],['dhina'],['dhina'],['dhina'],"[('dhina', 'NN')]","[('dhina', 'n')]",['dhina']
166,166,ayong,['ayong'],ayong,tl,['ayong'],['ayong'],['ayong'],['ayong'],"[('ayong', 'RB')]","[('ayong', 'r')]",['ayong']
168,168,afiza,['afiza'],afiza,oc,['afiza'],['afiza'],['afiza'],['afiza'],"[('afiza', 'NN')]","[('afiza', 'n')]",['afiza']
169,169,kiii,['kiii'],kiii,de,['kiii'],['kiii'],['kiii'],['kiii'],"[('kiii', 'NN')]","[('kiii', 'n')]",['kiii']
170,170,albana,['albana'],albana,it,['albana'],['albana'],['albana'],['albana'],"[('albana', 'NN')]","[('albana', 'n')]",['albana']
172,172,turpijn,['turpijn'],turpijn,nl,['turpijn'],['turpijn'],['turpijn'],['turpijn'],"[('turpijn', 'NN')]","[('turpijn', 'n')]",['turpijn']
173,173,mantapcoy,['mantapcoy'],mantapcoy,es,['mantapcoy'],['mantapcoy'],['mantapcoy'],['mantapcoy'],"[('mantapcoy', 'NN')]","[('mantapcoy', 'n')]",['mantapcoy']
175,175,naudzubillah,['naudzubillah'],naudzubillah,nl,['naudzubillah'],['naudzubillah'],['naudzubillah'],['naudzubillah'],"[('naudzubillah', 'NN')]","[('naudzubillah', 'n')]",['naudzubillah']
176,176,promosiin,['promosiin'],promosiin,fi,['promosiin'],['promosiin'],['promosiin'],['promosiin'],"[('promosiin', 'NN')]","[('promosiin', 'n')]",['promosiin']
177,177,jtteri,['jtteri'],jtteri,it,['jtteri'],['jtteri'],['jtteri'],['jtteri'],"[('jtteri', 'NN')]","[('jtteri', 'n')]",['jtteri']
178,178,tuh,['tuh'],tuh,et,['tuh'],['tuh'],['tuh'],['tuh'],"[('tuh', 'NN')]","[('tuh', 'n')]",['tuh']
179,179,hedpon,['hedpon'],hedpon,sk,['hedpon'],['hedpon'],['hedpon'],['hedpon'],"[('hedpon', 'NN')]","[('hedpon', 'n')]",['hedpon']
180,180,mamank,['mamank'],mamank,de,['mamank'],['mamank'],['mamank'],['mamank'],"[('mamank', 'NN')]","[('mamank', 'n')]",['mamank']
181,181,nofvi,['nofvi'],nofvi,fa,['nofvi'],['nofvi'],['nofvi'],['nofvi'],"[('nofvi', 'NN')]","[('nofvi', 'n')]",['nofvi']
183,183,piye,['piye'],piye,tr,['piye'],['piye'],['piye'],['piye'],"[('piye', 'NN')]","[('piye', 'n')]",['piye']
184,184,erizalie,['erizalie'],erizalie,fr,['erizalie'],['erizalie'],['erizalie'],['erizalie'],"[('erizalie', 'NN')]","[('erizalie', 'n')]",['erizalie']
185,185,tanuwidjaja,['tanuwidjaja'],tanuwidjaja,hu,['tanuwidjaja'],['tanuwidjaja'],['tanuwidjaja'],['tanuwidjaja'],"[('tanuwidjaja', 'NN')]","[('tanuwidjaja', 'n')]",['tanuwidjaja']
187,187,selina,['selina'],selina,es,['selina'],['selina'],['selina'],['selina'],"[('selina', 'NN')]","[('selina', 'n')]",['selina']
188,188,muhibbatun,['muhibbatun'],muhibbatun,la,['muhibbatun'],['muhibbatun'],['muhibbatun'],['muhibbatun'],"[('muhibbatun', 'NN')]","[('muhibbatun', 'n')]",['muhibbatun']
190,190,iyuran,['iyuran'],iyuran,az,['iyuran'],['iyuran'],['iyuran'],['iyuran'],"[('iyuran', 'NN')]","[('iyuran', 'n')]",['iyuran']
192,192,secars,['secars'],secars,fr,['secars'],['secars'],['secars'],['secars'],"[('secars', 'NNS')]","[('secars', 'n')]",['secars']
193,193,madiri,['madiri'],madiri,id,['madiri'],['madiri'],['madiri'],['madiri'],"[('madiri', 'NN')]","[('madiri', 'n')]",['madiri']
195,195,ayng,['ayng'],ayng,gu,['ayng'],['ayng'],['ayng'],['ayng'],"[('ayng', 'NN')]","[('ayng', 'n')]",['ayng']
197,197,aplikasine,['aplikasine'],aplikasine,pl,['aplikasine'],['aplikasine'],['aplikasine'],['aplikasine'],"[('aplikasine', 'NN')]","[('aplikasine', 'n')]",['aplikasine']
199,199,zzzzz,['zzzzz'],zzzzz,oc,['zzzzz'],['zzzzz'],['zzzzz'],['zzzzz'],"[('zzzzz', 'NN')]","[('zzzzz', 'n')]",['zzzzz']
200,200,minho,['minho'],minho,pt,['minho'],['minho'],['minho'],['minho'],"[('minho', 'NN')]","[('minho', 'n')]",['minho']
202,202,atthobarani,['atthobarani'],atthobarani,fr,['atthobarani'],['atthobarani'],['atthobarani'],['atthobarani'],"[('atthobarani', 'NN')]","[('atthobarani', 'n')]",['atthobarani']
204,204,indovixion,['indovixion'],indovixion,gd,['indovixion'],['indovixion'],['indovixion'],['indovixion'],"[('indovixion', 'NN')]","[('indovixion', 'n')]",['indovixion']
205,205,bngd,['bngd'],bngd,nn,['bngd'],['bngd'],['bngd'],['bngd'],"[('bngd', 'NN')]","[('bngd', 'n')]",['bngd']
207,207,ngetest,['ngetest'],ngetest,jv,['ngetest'],['ngetest'],['ngetest'],['ngetest'],"[('ngetest', 'JJS')]","[('ngetest', 'a')]",['ngetest']
208,208,rudisofia,['rudisofia'],rudisofia,nl,['rudisofia'],['rudisofia'],['rudisofia'],['rudisofia'],"[('rudisofia', 'NN')]","[('rudisofia', 'n')]",['rudisofia']
209,209,nurfauzan,['nurfauzan'],nurfauzan,uz,['nurfauzan'],['nurfauzan'],['nurfauzan'],['nurfauzan'],"[('nurfauzan', 'NN')]","[('nurfauzan', 'n')]",['nurfauzan']
212,212,oo,['oo'],oo,so,['oo'],['oo'],['oo'],['oo'],"[('oo', 'NN')]","[('oo', 'n')]",['oo']
213,213,hrp,['hrp'],hrp,de,['hrp'],['hrp'],['hrp'],['hrp'],"[('hrp', 'NN')]","[('hrp', 'n')]",['hrp']
214,214,harafit,['harafit'],harafit,pl,['harafit'],['harafit'],['harafit'],['harafit'],"[('harafit', 'NN')]","[('harafit', 'n')]",['harafit']
216,216,rieldan,['rieldan'],rieldan,it,['rieldan'],['rieldan'],['rieldan'],['rieldan'],"[('rieldan', 'NN')]","[('rieldan', 'n')]",['rieldan']
218,218,enggar,['enggar'],enggar,id,['enggar'],['enggar'],['enggar'],['enggar'],"[('enggar', 'NN')]","[('enggar', 'n')]",['enggar']
220,220,makasihhh,['makasihhh'],makasihhh,id,['makasihhh'],['makasihhh'],['makasihhh'],['makasihhh'],"[('makasihhh', 'NN')]","[('makasihhh', 'n')]",['makasihhh']
221,221,noviati,['noviati'],noviati,it,['noviati'],['noviati'],['noviati'],['noviati'],"[('noviati', 'NNS')]","[('noviati', 'n')]",['noviati']
224,224,maghtama,['maghtama'],maghtama,qu,['maghtama'],['maghtama'],['maghtama'],['maghtama'],"[('maghtama', 'NN')]","[('maghtama', 'n')]",['maghtama']
225,225,mevret,['mevret'],mevret,ce,['mevret'],['mevret'],['mevret'],['mevret'],"[('mevret', 'NN')]","[('mevret', 'n')]",['mevret']
226,226,asiani,['asiani'],asiani,it,['asiani'],['asiani'],['asiani'],['asiani'],"[('asiani', 'NN')]","[('asiani', 'n')]",['asiani']
228,228,rismanto,['rismanto'],rismanto,it,['rismanto'],['rismanto'],['rismanto'],['rismanto'],"[('rismanto', 'NN')]","[('rismanto', 'n')]",['rismanto']
230,230,pilhan,['pilhan'],pilhan,pt,['pilhan'],['pilhan'],['pilhan'],['pilhan'],"[('pilhan', 'NN')]","[('pilhan', 'n')]",['pilhan']
235,235,suriawan,['suriawan'],suriawan,de,['suriawan'],['suriawan'],['suriawan'],['suriawan'],"[('suriawan', 'NN')]","[('suriawan', 'n')]",['suriawan']
237,237,berli,['berli'],berli,it,['berli'],['berli'],['berli'],['berli'],"[('berli', 'NN')]","[('berli', 'n')]",['berli']
238,238,nardo,['nardo'],nardo,es,['nardo'],['nardo'],['nardo'],['nardo'],"[('nardo', 'NN')]","[('nardo', 'n')]",['nardo']
239,239,jusa,['jusa'],jusa,pl,['jusa'],['jusa'],['jusa'],['jusa'],"[('jusa', 'NN')]","[('jusa', 'n')]",['jusa']
241,241,juma,['juma'],juma,fi,['juma'],['juma'],['juma'],['juma'],"[('juma', 'NN')]","[('juma', 'n')]",['juma']
242,242,activasi,['activasi'],activasi,ca,['activasi'],['activasi'],['activasi'],['activasi'],"[('activasi', 'NN')]","[('activasi', 'n')]",['activasi']
244,244,jie,['jie'],jie,lt,['jie'],['jie'],['jie'],['jie'],"[('jie', 'NN')]","[('jie', 'n')]",['jie']
252,252,saimin,['saimin'],saimin,ce,['saimin'],['saimin'],['saimin'],['saimin'],"[('saimin', 'NN')]","[('saimin', 'n')]",['saimin']
253,253,nanto,['nanto'],nanto,pt,['nanto'],['nanto'],['nanto'],['nanto'],"[('nanto', 'NN')]","[('nanto', 'n')]",['nanto']
254,254,macett,['macett'],macett,fr,['macett'],['macett'],['macett'],['macett'],"[('macett', 'NN')]","[('macett', 'n')]",['macett']
255,255,ngabeaken,['ngabeaken'],ngabeaken,wa,['ngabeaken'],['ngabeaken'],['ngabeaken'],['ngabeaken'],"[('ngabeaken', 'NNS')]","[('ngabeaken', 'n')]",['ngabeaken']
257,257,sutria,['sutria'],sutria,id,['sutria'],['sutria'],['sutria'],['sutria'],"[('sutria', 'NNS')]","[('sutria', 'n')]",['sutria']
260,260,tivi,['tivi'],tivi,it,['tivi'],['tivi'],['tivi'],['tivi'],"[('tivi', 'NN')]","[('tivi', 'n')]",['tivi']
