,Unnamed: 0,0,no_contract,fix_str,langs,tokenized,lower,no_punc,stopwords_removed,pos_tags,wordnet_pos,lemmatized
295,295,fesbuk,['fesbuk'],fesbuk,id,['fesbuk'],['fesbuk'],['fesbuk'],['fesbuk'],"[('fesbuk', 'NN')]","[('fesbuk', 'n')]",['fesbuk']
297,297,menontonx,['menontonx'],menontonx,id,['menontonx'],['menontonx'],['menontonx'],['menontonx'],"[('menontonx', 'NN')]","[('menontonx', 'n')]",['menontonx']
308,308,hdnya,['hdnya'],hdnya,id,['hdnya'],['hdnya'],['hdnya'],['hdnya'],"[('hdnya', 'NN')]","[('hdnya', 'n')]",['hdnya']
316,316,ermawatiputri,['ermawatiputri'],ermawatiputri,id,['ermawatiputri'],['ermawatiputri'],['ermawatiputri'],['ermawatiputri'],"[('ermawatiputri', 'NN')]","[('ermawatiputri', 'n')]",['ermawatiputri']
333,333,akhyar,['akhyar'],akhyar,id,['akhyar'],['akhyar'],['akhyar'],['akhyar'],"[('akhyar', 'NN')]","[('akhyar', 'n')]",['akhyar']
338,338,brkualitas,['brkualitas'],brkualitas,id,['brkualitas'],['brkualitas'],['brkualitas'],['brkualitas'],"[('brkualitas', 'NNS')]","[('brkualitas', 'n')]",['brkualitas']
348,348,beraktifitas,['beraktifitas'],beraktifitas,id,['beraktifitas'],['beraktifitas'],['beraktifitas'],['beraktifitas'],"[('beraktifitas', 'NNS')]","[('beraktifitas', 'n')]",['beraktifitas']
351,351,inginkn,['inginkn'],inginkn,id,['inginkn'],['inginkn'],['inginkn'],['inginkn'],"[('inginkn', 'NN')]","[('inginkn', 'n')]",['inginkn']
357,357,waruwu,['waruwu'],waruwu,id,['waruwu'],['waruwu'],['waruwu'],['waruwu'],"[('waruwu', 'NN')]","[('waruwu', 'n')]",['waruwu']
363,363,kataya,['kataya'],kataya,id,['kataya'],['kataya'],['kataya'],['kataya'],"[('kataya', 'NN')]","[('kataya', 'n')]",['kataya']
374,374,agustang,['agustang'],agustang,id,['agustang'],['agustang'],['agustang'],['agustang'],"[('agustang', 'NN')]","[('agustang', 'n')]",['agustang']
400,400,hasa,['hasa'],hasa,id,['hasa'],['hasa'],['hasa'],['hasa'],"[('hasa', 'NN')]","[('hasa', 'n')]",['hasa']
431,431,fafat,['fafat'],fafat,id,['fafat'],['fafat'],['fafat'],['fafat'],"[('fafat', 'NN')]","[('fafat', 'n')]",['fafat']
447,447,tarjo,['tarjo'],tarjo,id,['tarjo'],['tarjo'],['tarjo'],['tarjo'],"[('tarjo', 'NN')]","[('tarjo', 'n')]",['tarjo']
458,458,nyusul,['nyusul'],nyusul,id,['nyusul'],['nyusul'],['nyusul'],['nyusul'],"[('nyusul', 'NN')]","[('nyusul', 'n')]",['nyusul']
471,471,tirafi,['tirafi'],tirafi,id,['tirafi'],['tirafi'],['tirafi'],['tirafi'],"[('tirafi', 'NN')]","[('tirafi', 'n')]",['tirafi']
473,473,jepta,['jepta'],jepta,id,['jepta'],['jepta'],['jepta'],['jepta'],"[('jepta', 'NN')]","[('jepta', 'n')]",['jepta']
475,475,tumanduk,['tumanduk'],tumanduk,id,['tumanduk'],['tumanduk'],['tumanduk'],['tumanduk'],"[('tumanduk', 'NN')]","[('tumanduk', 'n')]",['tumanduk']
484,484,tayanginnya,['tayanginnya'],tayanginnya,id,['tayanginnya'],['tayanginnya'],['tayanginnya'],['tayanginnya'],"[('tayanginnya', 'NN')]","[('tayanginnya', 'n')]",['tayanginnya']
507,507,terma,['terma'],terma,id,['terma'],['terma'],['terma'],['terma'],"[('terma', 'NN')]","[('terma', 'n')]",['terma']
519,519,triansyah,['triansyah'],triansyah,id,['triansyah'],['triansyah'],['triansyah'],['triansyah'],"[('triansyah', 'NN')]","[('triansyah', 'n')]",['triansyah']
526,526,paswan,['paswan'],paswan,id,['paswan'],['paswan'],['paswan'],['paswan'],"[('paswan', 'NN')]","[('paswan', 'n')]",['paswan']
541,541,rosmawati,['rosmawati'],rosmawati,id,['rosmawati'],['rosmawati'],['rosmawati'],['rosmawati'],"[('rosmawati', 'NN')]","[('rosmawati', 'n')]",['rosmawati']
553,553,tinggalnonton,['tinggalnonton'],tinggalnonton,id,['tinggalnonton'],['tinggalnonton'],['tinggalnonton'],['tinggalnonton'],"[('tinggalnonton', 'NN')]","[('tinggalnonton', 'n')]",['tinggalnonton']
558,558,srtelah,['srtelah'],srtelah,id,['srtelah'],['srtelah'],['srtelah'],['srtelah'],"[('srtelah', 'NN')]","[('srtelah', 'n')]",['srtelah']
565,565,budimansyah,['budimansyah'],budimansyah,id,['budimansyah'],['budimansyah'],['budimansyah'],['budimansyah'],"[('budimansyah', 'NN')]","[('budimansyah', 'n')]",['budimansyah']
584,584,tinggl,['tinggl'],tinggl,id,['tinggl'],['tinggl'],['tinggl'],['tinggl'],"[('tinggl', 'NN')]","[('tinggl', 'n')]",['tinggl']
600,600,rusmawati,['rusmawati'],rusmawati,id,['rusmawati'],['rusmawati'],['rusmawati'],['rusmawati'],"[('rusmawati', 'NN')]","[('rusmawati', 'n')]",['rusmawati']
612,612,sholihah,['sholihah'],sholihah,id,['sholihah'],['sholihah'],['sholihah'],['sholihah'],"[('sholihah', 'NN')]","[('sholihah', 'n')]",['sholihah']
615,615,purnmawati,['purnmawati'],purnmawati,id,['purnmawati'],['purnmawati'],['purnmawati'],['purnmawati'],"[('purnmawati', 'NN')]","[('purnmawati', 'n')]",['purnmawati']
632,632,jatingan,['jatingan'],jatingan,id,['jatingan'],['jatingan'],['jatingan'],['jatingan'],"[('jatingan', 'NN')]","[('jatingan', 'n')]",['jatingan']
647,647,hdiahnya,['hdiahnya'],hdiahnya,id,['hdiahnya'],['hdiahnya'],['hdiahnya'],['hdiahnya'],"[('hdiahnya', 'NN')]","[('hdiahnya', 'n')]",['hdiahnya']
658,658,sukah,['sukah'],sukah,id,['sukah'],['sukah'],['sukah'],['sukah'],"[('sukah', 'NN')]","[('sukah', 'n')]",['sukah']
660,660,apliaksi,['apliaksi'],apliaksi,id,['apliaksi'],['apliaksi'],['apliaksi'],['apliaksi'],"[('apliaksi', 'NN')]","[('apliaksi', 'n')]",['apliaksi']
665,665,verdika,['verdika'],verdika,id,['verdika'],['verdika'],['verdika'],['verdika'],"[('verdika', 'NN')]","[('verdika', 'n')]",['verdika']
672,672,tatan,['tatan'],tatan,id,['tatan'],['tatan'],['tatan'],['tatan'],"[('tatan', 'NN')]","[('tatan', 'n')]",['tatan']
681,681,erahayu,['erahayu'],erahayu,id,['erahayu'],['erahayu'],['erahayu'],['erahayu'],"[('erahayu', 'NN')]","[('erahayu', 'n')]",['erahayu']
686,686,suhanan,['suhanan'],suhanan,id,['suhanan'],['suhanan'],['suhanan'],['suhanan'],"[('suhanan', 'NN')]","[('suhanan', 'n')]",['suhanan']
698,698,responnya,['responnya'],responnya,id,['responnya'],['responnya'],['responnya'],['responnya'],"[('responnya', 'NN')]","[('responnya', 'n')]",['responnya']
699,699,kelihatanya,['kelihatanya'],kelihatanya,id,['kelihatanya'],['kelihatanya'],['kelihatanya'],['kelihatanya'],"[('kelihatanya', 'NN')]","[('kelihatanya', 'n')]",['kelihatanya']
700,700,jengkok,['jengkok'],jengkok,id,['jengkok'],['jengkok'],['jengkok'],['jengkok'],"[('jengkok', 'NN')]","[('jengkok', 'n')]",['jengkok']
702,702,chromecastnya,['chromecastnya'],chromecastnya,id,['chromecastnya'],['chromecastnya'],['chromecastnya'],['chromecastnya'],"[('chromecastnya', 'NN')]","[('chromecastnya', 'n')]",['chromecastnya']
707,707,bisalihat,['bisalihat'],bisalihat,id,['bisalihat'],['bisalihat'],['bisalihat'],['bisalihat'],"[('bisalihat', 'IN')]","[('bisalihat', 'n')]",['bisalihat']
713,713,berlajut,['berlajut'],berlajut,id,['berlajut'],['berlajut'],['berlajut'],['berlajut'],"[('berlajut', 'NN')]","[('berlajut', 'n')]",['berlajut']
749,749,nontonnyap,['nontonnyap'],nontonnyap,id,['nontonnyap'],['nontonnyap'],['nontonnyap'],['nontonnyap'],"[('nontonnyap', 'NN')]","[('nontonnyap', 'n')]",['nontonnyap']
762,762,diputtar,['diputtar'],diputtar,id,['diputtar'],['diputtar'],['diputtar'],['diputtar'],"[('diputtar', 'NN')]","[('diputtar', 'n')]",['diputtar']
769,769,nontonn,['nontonn'],nontonn,id,['nontonn'],['nontonn'],['nontonn'],['nontonn'],"[('nontonn', 'NN')]","[('nontonn', 'n')]",['nontonn']
773,773,systemnya,['systemnya'],systemnya,id,['systemnya'],['systemnya'],['systemnya'],['systemnya'],"[('systemnya', 'NN')]","[('systemnya', 'n')]",['systemnya']
775,775,bilngnya,['bilngnya'],bilngnya,id,['bilngnya'],['bilngnya'],['bilngnya'],['bilngnya'],"[('bilngnya', 'NN')]","[('bilngnya', 'n')]",['bilngnya']
777,777,syahrudin,['syahrudin'],syahrudin,id,['syahrudin'],['syahrudin'],['syahrudin'],['syahrudin'],"[('syahrudin', 'NN')]","[('syahrudin', 'n')]",['syahrudin']
780,780,sulistyowati,['sulistyowati'],sulistyowati,id,['sulistyowati'],['sulistyowati'],['sulistyowati'],['sulistyowati'],"[('sulistyowati', 'NN')]","[('sulistyowati', 'n')]",['sulistyowati']
786,786,shaputra,['shaputra'],shaputra,id,['shaputra'],['shaputra'],['shaputra'],['shaputra'],"[('shaputra', 'NN')]","[('shaputra', 'n')]",['shaputra']
796,796,ditlvisi,['ditlvisi'],ditlvisi,id,['ditlvisi'],['ditlvisi'],['ditlvisi'],['ditlvisi'],"[('ditlvisi', 'NN')]","[('ditlvisi', 'n')]",['ditlvisi']
823,823,hisar,['hisar'],hisar,id,['hisar'],['hisar'],['hisar'],['hisar'],"[('hisar', 'NN')]","[('hisar', 'n')]",['hisar']
830,830,installasi,['installasi'],installasi,id,['installasi'],['installasi'],['installasi'],['installasi'],"[('installasi', 'NN')]","[('installasi', 'n')]",['installasi']
837,837,smnggu,['smnggu'],smnggu,id,['smnggu'],['smnggu'],['smnggu'],['smnggu'],"[('smnggu', 'NN')]","[('smnggu', 'n')]",['smnggu']
849,849,nontonnya,['nontonnya'],nontonnya,id,['nontonnya'],['nontonnya'],['nontonnya'],['nontonnya'],"[('nontonnya', 'NN')]","[('nontonnya', 'n')]",['nontonnya']
864,864,tantan,['tantan'],tantan,id,['tantan'],['tantan'],['tantan'],['tantan'],"[('tantan', 'NN')]","[('tantan', 'n')]",['tantan']
873,873,najemiah,['najemiah'],najemiah,id,['najemiah'],['najemiah'],['najemiah'],['najemiah'],"[('najemiah', 'NN')]","[('najemiah', 'n')]",['najemiah']
882,882,masliansyah,['masliansyah'],masliansyah,id,['masliansyah'],['masliansyah'],['masliansyah'],['masliansyah'],"[('masliansyah', 'NN')]","[('masliansyah', 'n')]",['masliansyah']
890,890,sastradiputra,['sastradiputra'],sastradiputra,id,['sastradiputra'],['sastradiputra'],['sastradiputra'],['sastradiputra'],"[('sastradiputra', 'NN')]","[('sastradiputra', 'n')]",['sastradiputra']
899,899,menggunduh,['menggunduh'],menggunduh,id,['menggunduh'],['menggunduh'],['menggunduh'],['menggunduh'],"[('menggunduh', 'NN')]","[('menggunduh', 'n')]",['menggunduh']
900,900,dwisari,['dwisari'],dwisari,id,['dwisari'],['dwisari'],['dwisari'],['dwisari'],"[('dwisari', 'NN')]","[('dwisari', 'n')]",['dwisari']
914,914,perjalana,['perjalana'],perjalana,id,['perjalana'],['perjalana'],['perjalana'],['perjalana'],"[('perjalana', 'NN')]","[('perjalana', 'n')]",['perjalana']
938,938,sukarsih,['sukarsih'],sukarsih,id,['sukarsih'],['sukarsih'],['sukarsih'],['sukarsih'],"[('sukarsih', 'NN')]","[('sukarsih', 'n')]",['sukarsih']
961,961,takasih,['takasih'],takasih,id,['takasih'],['takasih'],['takasih'],['takasih'],"[('takasih', 'NN')]","[('takasih', 'n')]",['takasih']
997,997,ketrangan,['ketrangan'],ketrangan,id,['ketrangan'],['ketrangan'],['ketrangan'],['ketrangan'],"[('ketrangan', 'NN')]","[('ketrangan', 'n')]",['ketrangan']
1011,1011,datanis,['datanis'],datanis,id,['datanis'],['datanis'],['datanis'],['datanis'],"[('datanis', 'NN')]","[('datanis', 'n')]",['datanis']
1037,1037,brpikir,['brpikir'],brpikir,id,['brpikir'],['brpikir'],['brpikir'],['brpikir'],"[('brpikir', 'NN')]","[('brpikir', 'n')]",['brpikir']
1044,1044,umboh,['umboh'],umboh,id,['umboh'],['umboh'],['umboh'],['umboh'],"[('umboh', 'NN')]","[('umboh', 'n')]",['umboh']
1047,1047,memdafatkan,['memdafatkan'],memdafatkan,id,['memdafatkan'],['memdafatkan'],['memdafatkan'],['memdafatkan'],"[('memdafatkan', 'NN')]","[('memdafatkan', 'n')]",['memdafatkan']
1054,1054,herawati,['herawati'],herawati,id,['herawati'],['herawati'],['herawati'],['herawati'],"[('herawati', 'NN')]","[('herawati', 'n')]",['herawati']
1056,1056,mengecewakn,['mengecewakn'],mengecewakn,id,['mengecewakn'],['mengecewakn'],['mengecewakn'],['mengecewakn'],"[('mengecewakn', 'NN')]","[('mengecewakn', 'n')]",['mengecewakn']
1062,1062,syaputri,['syaputri'],syaputri,id,['syaputri'],['syaputri'],['syaputri'],['syaputri'],"[('syaputri', 'NN')]","[('syaputri', 'n')]",['syaputri']
1102,1102,carnya,['carnya'],carnya,id,['carnya'],['carnya'],['carnya'],['carnya'],"[('carnya', 'NN')]","[('carnya', 'n')]",['carnya']
1124,1124,pokkoknya,['pokkoknya'],pokkoknya,id,['pokkoknya'],['pokkoknya'],['pokkoknya'],['pokkoknya'],"[('pokkoknya', 'NN')]","[('pokkoknya', 'n')]",['pokkoknya']
1127,1127,aplilasinya,['aplilasinya'],aplilasinya,id,['aplilasinya'],['aplilasinya'],['aplilasinya'],['aplilasinya'],"[('aplilasinya', 'NN')]","[('aplilasinya', 'n')]",['aplilasinya']
1177,1177,tontoannya,['tontoannya'],tontoannya,id,['tontoannya'],['tontoannya'],['tontoannya'],['tontoannya'],"[('tontoannya', 'NN')]","[('tontoannya', 'n')]",['tontoannya']
1186,1186,zekaran,['zekaran'],zekaran,id,['zekaran'],['zekaran'],['zekaran'],['zekaran'],"[('zekaran', 'NN')]","[('zekaran', 'n')]",['zekaran']
1201,1201,ajiewahyu,['ajiewahyu'],ajiewahyu,id,['ajiewahyu'],['ajiewahyu'],['ajiewahyu'],['ajiewahyu'],"[('ajiewahyu', 'NN')]","[('ajiewahyu', 'n')]",['ajiewahyu']
1253,1253,hratisannyaa,['hratisannyaa'],hratisannyaa,id,['hratisannyaa'],['hratisannyaa'],['hratisannyaa'],['hratisannyaa'],"[('hratisannyaa', 'NN')]","[('hratisannyaa', 'n')]",['hratisannyaa']
1340,1340,mnjadi,['mnjadi'],mnjadi,id,['mnjadi'],['mnjadi'],['mnjadi'],['mnjadi'],"[('mnjadi', 'NN')]","[('mnjadi', 'n')]",['mnjadi']
1347,1347,tidakbsekian,['tidakbsekian'],tidakbsekian,id,['tidakbsekian'],['tidakbsekian'],['tidakbsekian'],['tidakbsekian'],"[('tidakbsekian', 'JJ')]","[('tidakbsekian', 'a')]",['tidakbsekian']
1355,1355,donloadnya,['donloadnya'],donloadnya,id,['donloadnya'],['donloadnya'],['donloadnya'],['donloadnya'],"[('donloadnya', 'NN')]","[('donloadnya', 'n')]",['donloadnya']
1364,1364,kasogi,['kasogi'],kasogi,id,['kasogi'],['kasogi'],['kasogi'],['kasogi'],"[('kasogi', 'NN')]","[('kasogi', 'n')]",['kasogi']
1380,1380,sarambang,['sarambang'],sarambang,id,['sarambang'],['sarambang'],['sarambang'],['sarambang'],"[('sarambang', 'NN')]","[('sarambang', 'n')]",['sarambang']
1389,1389,thrillernya,['thrillernya'],thrillernya,id,['thrillernya'],['thrillernya'],['thrillernya'],['thrillernya'],"[('thrillernya', 'NN')]","[('thrillernya', 'n')]",['thrillernya']
1394,1394,apilkasi,['apilkasi'],apilkasi,id,['apilkasi'],['apilkasi'],['apilkasi'],['apilkasi'],"[('apilkasi', 'NN')]","[('apilkasi', 'n')]",['apilkasi']
1416,1416,aparahnya,['aparahnya'],aparahnya,id,['aparahnya'],['aparahnya'],['aparahnya'],['aparahnya'],"[('aparahnya', 'NN')]","[('aparahnya', 'n')]",['aparahnya']
1419,1419,darmawaty,['darmawaty'],darmawaty,id,['darmawaty'],['darmawaty'],['darmawaty'],['darmawaty'],"[('darmawaty', 'NN')]","[('darmawaty', 'n')]",['darmawaty']
1424,1424,kamungku,['kamungku'],kamungku,id,['kamungku'],['kamungku'],['kamungku'],['kamungku'],"[('kamungku', 'NN')]","[('kamungku', 'n')]",['kamungku']
1428,1428,claudiaputri,['claudiaputri'],claudiaputri,id,['claudiaputri'],['claudiaputri'],['claudiaputri'],['claudiaputri'],"[('claudiaputri', 'NN')]","[('claudiaputri', 'n')]",['claudiaputri']
1444,1444,terakir,['terakir'],terakir,id,['terakir'],['terakir'],['terakir'],['terakir'],"[('terakir', 'NN')]","[('terakir', 'n')]",['terakir']
1446,1446,ciputat,['ciputat'],ciputat,id,['ciputat'],['ciputat'],['ciputat'],['ciputat'],"[('ciputat', 'NN')]","[('ciputat', 'n')]",['ciputat']
1457,1457,gadgetnya,['gadgetnya'],gadgetnya,id,['gadgetnya'],['gadgetnya'],['gadgetnya'],['gadgetnya'],"[('gadgetnya', 'NN')]","[('gadgetnya', 'n')]",['gadgetnya']
1466,1466,syahril,['syahril'],syahril,id,['syahril'],['syahril'],['syahril'],['syahril'],"[('syahril', 'NN')]","[('syahril', 'n')]",['syahril']
1476,1476,maduk,['maduk'],maduk,id,['maduk'],['maduk'],['maduk'],['maduk'],"[('maduk', 'NN')]","[('maduk', 'n')]",['maduk']
1503,1503,pemberitahuannya,['pemberitahuannya'],pemberitahuannya,id,['pemberitahuannya'],['pemberitahuannya'],['pemberitahuannya'],['pemberitahuannya'],"[('pemberitahuannya', 'NN')]","[('pemberitahuannya', 'n')]",['pemberitahuannya']
1514,1514,devriansyah,['devriansyah'],devriansyah,id,['devriansyah'],['devriansyah'],['devriansyah'],['devriansyah'],"[('devriansyah', 'NN')]","[('devriansyah', 'n')]",['devriansyah']
1542,1542,dubuka,['dubuka'],dubuka,id,['dubuka'],['dubuka'],['dubuka'],['dubuka'],"[('dubuka', 'NN')]","[('dubuka', 'n')]",['dubuka']
1549,1549,nyuruh,['nyuruh'],nyuruh,id,['nyuruh'],['nyuruh'],['nyuruh'],['nyuruh'],"[('nyuruh', 'NN')]","[('nyuruh', 'n')]",['nyuruh']
1552,1552,kedepanyalebih,['kedepanyalebih'],kedepanyalebih,id,['kedepanyalebih'],['kedepanyalebih'],['kedepanyalebih'],['kedepanyalebih'],"[('kedepanyalebih', 'NN')]","[('kedepanyalebih', 'n')]",['kedepanyalebih']
1569,1569,bagaiaman,['bagaiaman'],bagaiaman,id,['bagaiaman'],['bagaiaman'],['bagaiaman'],['bagaiaman'],"[('bagaiaman', 'NN')]","[('bagaiaman', 'n')]",['bagaiaman']
1578,1578,menyenngkan,['menyenngkan'],menyenngkan,id,['menyenngkan'],['menyenngkan'],['menyenngkan'],['menyenngkan'],"[('menyenngkan', 'NN')]","[('menyenngkan', 'n')]",['menyenngkan']
1580,1580,dwiyaksa,['dwiyaksa'],dwiyaksa,id,['dwiyaksa'],['dwiyaksa'],['dwiyaksa'],['dwiyaksa'],"[('dwiyaksa', 'NN')]","[('dwiyaksa', 'n')]",['dwiyaksa']
1605,1605,dindin,['dindin'],dindin,id,['dindin'],['dindin'],['dindin'],['dindin'],"[('dindin', 'NN')]","[('dindin', 'n')]",['dindin']
1616,1616,aelah,['aelah'],aelah,id,['aelah'],['aelah'],['aelah'],['aelah'],"[('aelah', 'NN')]","[('aelah', 'n')]",['aelah']
1636,1636,inonesia,['inonesia'],inonesia,id,['inonesia'],['inonesia'],['inonesia'],['inonesia'],"[('inonesia', 'NN')]","[('inonesia', 'n')]",['inonesia']
1654,1654,perbaikinnnn,['perbaikinnnn'],perbaikinnnn,id,['perbaikinnnn'],['perbaikinnnn'],['perbaikinnnn'],['perbaikinnnn'],"[('perbaikinnnn', 'NN')]","[('perbaikinnnn', 'n')]",['perbaikinnnn']
1667,1667,ngehilangin,['ngehilangin'],ngehilangin,id,['ngehilangin'],['ngehilangin'],['ngehilangin'],['ngehilangin'],"[('ngehilangin', 'NN')]","[('ngehilangin', 'n')]",['ngehilangin']
1677,1677,ardhiansyah,['ardhiansyah'],ardhiansyah,id,['ardhiansyah'],['ardhiansyah'],['ardhiansyah'],['ardhiansyah'],"[('ardhiansyah', 'NN')]","[('ardhiansyah', 'n')]",['ardhiansyah']
1685,1685,bukax,['bukax'],bukax,id,['bukax'],['bukax'],['bukax'],['bukax'],"[('bukax', 'NN')]","[('bukax', 'n')]",['bukax']
1693,1693,pinya,['pinya'],pinya,id,['pinya'],['pinya'],['pinya'],['pinya'],"[('pinya', 'NN')]","[('pinya', 'n')]",['pinya']
1696,1696,onlinennya,['onlinennya'],onlinennya,id,['onlinennya'],['onlinennya'],['onlinennya'],['onlinennya'],"[('onlinennya', 'NN')]","[('onlinennya', 'n')]",['onlinennya']
1705,1705,memakain,['memakain'],memakain,id,['memakain'],['memakain'],['memakain'],['memakain'],"[('memakain', 'NN')]","[('memakain', 'n')]",['memakain']
1712,1712,asiknya,['asiknya'],asiknya,id,['asiknya'],['asiknya'],['asiknya'],['asiknya'],"[('asiknya', 'NN')]","[('asiknya', 'n')]",['asiknya']
1714,1714,lewatin,['lewatin'],lewatin,id,['lewatin'],['lewatin'],['lewatin'],['lewatin'],"[('lewatin', 'NN')]","[('lewatin', 'n')]",['lewatin']
1716,1716,pertnyaanya,['pertnyaanya'],pertnyaanya,id,['pertnyaanya'],['pertnyaanya'],['pertnyaanya'],['pertnyaanya'],"[('pertnyaanya', 'NN')]","[('pertnyaanya', 'n')]",['pertnyaanya']
1723,1723,syahran,['syahran'],syahran,id,['syahran'],['syahran'],['syahran'],['syahran'],"[('syahran', 'NN')]","[('syahran', 'n')]",['syahran']
1731,1731,akhirya,['akhirya'],akhirya,id,['akhirya'],['akhirya'],['akhirya'],['akhirya'],"[('akhirya', 'NN')]","[('akhirya', 'n')]",['akhirya']
1732,1732,johansyah,['johansyah'],johansyah,id,['johansyah'],['johansyah'],['johansyah'],['johansyah'],"[('johansyah', 'NN')]","[('johansyah', 'n')]",['johansyah']
1735,1735,palsuni,['palsuni'],palsuni,id,['palsuni'],['palsuni'],['palsuni'],['palsuni'],"[('palsuni', 'NN')]","[('palsuni', 'n')]",['palsuni']
1736,1736,aplilasih,['aplilasih'],aplilasih,id,['aplilasih'],['aplilasih'],['aplilasih'],['aplilasih'],"[('aplilasih', 'NN')]","[('aplilasih', 'n')]",['aplilasih']
1774,1774,baelah,['baelah'],baelah,id,['baelah'],['baelah'],['baelah'],['baelah'],"[('baelah', 'NN')]","[('baelah', 'n')]",['baelah']
1817,1817,alfriansyah,['alfriansyah'],alfriansyah,id,['alfriansyah'],['alfriansyah'],['alfriansyah'],['alfriansyah'],"[('alfriansyah', 'NN')]","[('alfriansyah', 'n')]",['alfriansyah']
1821,1821,tngga,['tngga'],tngga,id,['tngga'],['tngga'],['tngga'],['tngga'],"[('tngga', 'NN')]","[('tngga', 'n')]",['tngga']
1835,1835,idak,['idak'],idak,id,['idak'],['idak'],['idak'],['idak'],"[('idak', 'NN')]","[('idak', 'n')]",['idak']
1838,1838,adala,['adala'],adala,id,['adala'],['adala'],['adala'],['adala'],"[('adala', 'NN')]","[('adala', 'n')]",['adala']
1839,1839,mengguras,['mengguras'],mengguras,id,['mengguras'],['mengguras'],['mengguras'],['mengguras'],"[('mengguras', 'NNS')]","[('mengguras', 'n')]",['mengguras']
1845,1845,dwisasongko,['dwisasongko'],dwisasongko,id,['dwisasongko'],['dwisasongko'],['dwisasongko'],['dwisasongko'],"[('dwisasongko', 'NN')]","[('dwisasongko', 'n')]",['dwisasongko']
1861,1861,percintan,['percintan'],percintan,id,['percintan'],['percintan'],['percintan'],['percintan'],"[('percintan', 'NN')]","[('percintan', 'n')]",['percintan']
1873,1873,taniasih,['taniasih'],taniasih,id,['taniasih'],['taniasih'],['taniasih'],['taniasih'],"[('taniasih', 'NN')]","[('taniasih', 'n')]",['taniasih']
1905,1905,nurhasanah,['nurhasanah'],nurhasanah,id,['nurhasanah'],['nurhasanah'],['nurhasanah'],['nurhasanah'],"[('nurhasanah', 'NN')]","[('nurhasanah', 'n')]",['nurhasanah']
