,langs
1098,ia
1099,ms
1100,ga
1101,pt
1102,id
1104,tr
1105,fi
1106,de
1107,es
1109,tr
1110,pl
1111,it
1112,it
1113,tr
1116,fi
1117,hu
1118,es
1119,cs
1120,el
1121,es
1122,gv
1123,ro
1124,id
1126,pl
1127,id
1128,pl
1129,hr
1133,eo
1135,ro
1136,sv
1137,tr
1138,ca
1139,la
1140,nl
1141,wa
1142,it
1143,hr
1144,fr
1145,de
1146,es
1147,ce
1148,it
1149,it
1150,su
1154,kw
1155,de
1157,pt
1161,de
1162,de
1163,tr
1168,eo
1170,eo
1171,et
1172,pl
1173,ko
1177,id
1178,es
1179,it
1180,nl
1181,zh
1182,nl
1183,tr
1184,la
1185,ms
1186,id
1188,ro
1189,es
1193,ms
1194,wa
1195,ms
1196,tr
1198,pt
1199,pl
1200,fi
1201,id
1202,lb
1203,it
1205,sv
1208,ru
1209,fr
1211,hr
1212,nl
1213,fa
1214,de
1215,pl
1217,pl
1218,it
1221,la
1222,es
1224,fr
1225,fi
1226,it
1230,tr
1231,pl
1233,de
1234,fr
1238,es
1241,it
1242,cs
1243,hu
1244,eu
1247,no
1248,hr
1250,el
1252,eu
1253,id
1255,it
1257,ga
1258,it
1259,sv
1262,lb
1264,sl
1266,nl
1267,de
1268,pl
1269,it
1271,es
1273,zh
1274,tr
1275,ms
1276,ru
1279,ru
1282,wa
1283,nl
1284,fi
1285,br
1286,pt
1288,it
1289,sv
1291,fr
1294,sk
1296,hs
1297,it
1298,da
1299,de
1301,it
1302,cs
1303,cs
1304,pt
1305,el
1306,it
1311,pt
1312,tr
1314,de
1315,ce
1316,ce
1318,ms
1320,es
1321,it
1323,es
1326,es
1327,es
1330,hu
1331,ca
1332,ms
1333,es
1335,es
1336,de
1338,eu
1339,de
1340,id
1344,fr
1346,tl
1347,id
1349,nl
1351,io
1352,sw
1354,ms
1355,id
1356,ms
1357,es
1358,eu
1360,de
1361,hr
1362,vi
1364,id
1368,wa
1369,bn
1371,eu
1372,tr
1374,de
1375,es
1377,ca
1378,de
1379,sw
1380,id
1383,eu
1384,fr
1385,jv
1386,fr
1387,fi
1388,es
1389,id
1390,sv
1391,fy
1392,fi
1394,id
1397,ms
1398,tr
1400,tl
1403,fr
1404,de
1405,ca
1406,de
1407,es
1409,ce
1410,es
1412,de
1414,sl
1415,ce
1416,id
1417,es
1418,tr
1419,id
1420,fi
1421,zh
1422,pl
1423,no
1424,id
1425,es
1426,fr
1427,pt
1428,id
1429,de
1430,fr
1431,pt
1432,it
1433,tr
1434,de
1435,it
1436,eu
1438,ms
1439,hu
1440,tl
1441,pl
1442,de
1443,es
1444,id
1446,id
1448,es
1449,sh
1450,fi
1451,pt
1453,bs
1454,de
1455,pt
1456,fi
1457,id
1461,de
1465,ms
1466,id
1467,pl
1471,sr
1472,lt
1473,de
1474,ce
1475,ro
1476,id
1477,de
1478,ms
1481,es
1483,ro
1484,ce
1486,da
1487,de
1489,eo
1490,no
1491,jv
1492,sv
1493,tr
1495,fr
1496,nl
1497,it
1498,it
1499,ca
1500,jv
1501,tr
1502,eo
1503,id
1505,de
1506,es
1507,et
1508,fi
1511,no
1514,id
1515,hu
1516,no
1519,nl
1521,ms
1522,de
1524,de
1525,it
1528,sq
1530,pt
1533,es
1534,ro
1536,da
1538,cs
1539,it
1541,fr
1542,id
1543,nl
1544,pl
1547,wa
1549,id
1550,lt
1552,id
1553,ca
1554,de
1555,jb
1557,hr
1559,de
1560,sl
1561,eu
1562,no
1565,fr
1566,de
1568,sr
1569,id
1571,ms
1573,es
1574,it
1575,ce
1578,id
1579,nl
1580,id
1581,es
1582,nl
1584,fr
1585,ml
1587,fr
1588,it
1589,sq
1590,sv
1593,ja
1594,ro
1595,pt
1596,es
1597,lm
1600,es
1605,id
1606,fy
1607,it
1608,es
1609,ru
1610,it
1616,id
1617,fr
1618,eu
1622,eu
1624,sv
1625,pt
1626,it
1629,wa
1630,vi
1631,ms
1633,de
1634,pa
1635,sl
1636,id
1640,pl
1642,it
1644,de
1645,tr
1646,es
1647,es
1649,it
1650,lt
1653,de
1654,id
1655,ru
1656,fi
1657,ms
1663,ms
1664,hu
1667,id
1668,no
1669,it
1670,eu
1671,uz
1673,pa
1675,te
1677,id
1678,ur
1679,ce
1681,it
1684,ro
1685,id
1686,ca
1688,zh
1690,eo
1691,it
1693,id
1695,fr
1696,id
1698,ms
1701,pt
1704,it
1705,id
1708,cs
1710,eo
1712,id
1713,nl
1714,id
1716,id
1717,fr
1718,br
1719,ce
1721,sv
1723,id
1724,es
1726,pl
1727,sv
1728,ms
1729,de
1730,mi
1731,id
1732,id
1734,de
1735,id
1736,id
1737,ro
1738,oc
1739,de
1740,cs
1742,la
1743,kw
1744,cs
1746,eu
1747,de
1748,hu
1749,de
1750,sv
1751,az
1753,la
1754,it
1756,de
1757,eo
1759,fr
1760,pt
1761,sl
1763,pl
1764,az
1765,tr
1767,eu
1768,cs
1770,oc
1771,fi
1772,sl
1773,ka
1774,id
1775,gl
1779,es
1780,ca
1782,hu
1785,sv
1787,ca
1788,ia
1790,eo
1791,eo
1794,ms
1795,it
1796,nl
1799,tr
1800,ms
1802,ms
1803,eu
1804,da
1805,es
1807,de
1810,et
1812,de
1813,uz
1815,it
1816,ms
1817,id
1818,it
1819,da
1820,es
1821,id
1822,it
1823,it
1825,sv
1830,ar
1831,es
1833,fr
1834,nl
1835,id
1838,id
1839,id
1840,fr
1845,id
1846,ms
1847,ca
1849,nl
1850,fi
1851,de
1853,de
1854,ar
1855,tr
1857,it
1860,lv
1861,id
1862,hu
1863,fi
1867,tl
1869,nl
1870,hu
1871,fr
1872,fi
1873,id
1874,de
1877,la
1878,es
1879,it
1880,hr
1881,de
1883,tl
1884,pt
1885,es
1886,fr
1887,fr
1888,pl
1889,fr
1890,az
1891,de
1892,fr
1894,ca
1895,ru
1897,nd
1899,et
1900,pl
1902,pt
1904,hu
1905,id
1906,id
1908,fi
1910,pl
1911,id
1912,sw
1916,zh
1917,pt
1918,pl
1919,id
1920,sr
1921,it
1923,cs
1924,fr
1925,id
1928,sr
1929,de
1930,it
1932,pl
1933,fi
1934,id
1935,it
1936,it
1937,sq
1938,tr
1939,ca
1941,ce
1942,id
1943,es
1944,pl
1946,id
1947,et
1948,it
1951,id
1952,nl
1955,de
1956,de
1960,sv
1961,it
1962,id
1964,it
1968,de
1969,hr
1970,ce
1973,id
1974,de
1975,lv
1976,el
1981,de
1982,sl
1983,kn
1984,tr
1985,ce
1986,et
1988,nl
1989,es
1990,de
1992,cy
1993,tl
1994,jb
1997,id
1999,es
2000,eo
2002,de
2003,it
2006,pt
2007,et
2008,es
2009,it
2010,fr
2012,pl
2013,hr
2014,sv
2015,fr
2016,sv
2017,it
2018,fi
2019,ms
2021,fi
2022,tr
2026,sv
2027,cs
2031,de
2032,id
2034,sv
2035,es
2037,id
2039,id
2040,eo
2043,de
2044,sr
2045,es
2046,de
2047,eo
2048,de
2049,tr
2051,ms
2052,ja
2055,hu
2058,ro
2059,zh
2060,kn
2063,it
2064,de
2066,pl
2068,fa
2069,it
2070,pl
2071,eu
2074,jv
2075,fr
2077,tr
2078,fr
2082,lt
2087,lv
2088,de
2091,es
2093,de
2094,eu
2095,nl
2096,zh
2100,id
2101,qu
2103,id
2105,ce
2106,lv
2107,fi
2108,tl
2109,es
2111,es
2112,eo
2116,de
2117,ms
2118,hu
2119,id
2122,it
2123,es
2124,it
2125,id
2131,su
2132,it
2133,id
2134,cs
2137,id
2139,mr
2140,ja
2142,et
2143,id
2144,ta
2145,ms
2146,de
2147,tr
2148,pt
2150,it
2151,sw
2152,de
2153,bo
2154,ms
2155,ms
2156,lr
2157,de
2158,fi
2159,ms
2160,de
2161,jv
2163,eo
2164,id
2165,ms
2166,gn
2167,nl
2168,sv
2169,de
2170,ce
2172,de
2174,ja
2176,es
2177,tl
2178,la
2179,it
2181,pt
2182,wa
2183,sq
2184,fi
2186,de
2187,id
2188,hu
2189,cs
2190,id
2192,de
2194,it
2195,ml
2196,ms
2198,sv
2201,nl
2203,hu
2204,pt
2205,fi
2206,de
2208,id
2209,ce
2211,id
2213,fi
2214,pt
2215,az
2216,fi
2217,ms
2218,id
2219,de
2220,la
2221,id
2222,id
2224,ur
2226,pl
2227,fr
2229,sk
2230,hu
2237,wa
2238,fr
2239,fi
2240,zh
2241,it
2242,uz
2245,de
2246,ca
2249,et
2250,hu
2253,ce
2254,id
2255,th
2256,ja
2257,ms
2258,pm
2260,af
2261,it
2262,it
2264,sk
2265,ce
2266,ca
2267,tr
2268,fr
2272,pt
2273,hu
2274,ca
2275,ce
2276,et
2278,it
2279,ms
2282,bn
2284,nd
2287,es
2288,fa
2290,id
2291,es
2292,ro
2293,id
2298,es
2300,it
2301,pl
2302,ca
2303,de
2304,nl
2305,ca
2307,eo
2308,id
2310,cy
2312,cs
2313,it
2314,id
2315,jv
2318,fi
2319,it
2321,de
2322,es
2323,it
2325,pl
2326,ms
2328,id
2329,ms
2330,id
2331,wa
2333,ca
2334,fr
2335,tr
2336,de
2339,it
2340,sv
2341,sv
2342,pl
2343,tr
2344,eu
2345,id
2346,sv
2347,eo
2351,sl
2354,lv
2356,ms
2357,wa
2358,it
2359,de
2361,es
2362,it
2364,ce
2365,et
2366,id
2367,it
2369,de
2371,zh
2372,ce
2374,fr
2376,uz
2379,pl
2380,id
2382,de
2383,eu
2384,su
2386,fr
2387,ms
2388,no
2391,es
2393,id
2396,ca
2397,nl
2399,nl
2400,mi
2402,tr
2403,fi
2405,es
2406,vo
2407,nl
2408,id
2410,az
2411,pl
2412,de
2415,nl
2416,kr
2417,eo
2418,es
2419,tk
2420,eo
2422,br
2426,ms
2428,id
2429,lt
2430,uz
2431,it
2432,it
2433,eu
2434,eo
2435,tl
2436,pt
2437,pt
2441,bs
2444,et
2445,es
2446,fi
2447,wa
2448,pl
2449,zh
2451,es
2452,ce
2453,id
2454,oc
2455,ca
2456,wa
2458,it
2460,sv
2461,id
2462,de
2463,it
2464,nl
2466,id
2467,de
2468,sl
2469,de
2471,eu
2473,nl
2474,sh
2477,et
2478,it
2480,fr
2481,ru
2483,pl
2486,sr
2487,de
2488,pt
2489,nl
2490,de
2492,oc
2494,tr
2495,cs
2497,id
2499,pt
2500,id
2501,ms
2504,pl
2505,tr
2506,sv
2508,eo
2509,es
2512,pl
2513,sv
2514,pt
2515,id
2516,es
2517,et
2520,jv
2521,id
2523,sv
2528,fi
2529,ce
2531,hu
2532,de
2535,fr
2536,ms
2538,de
2540,sr
2541,la
2543,ko
2547,nl
2548,cs
2549,fi
2550,pl
2551,it
2553,de
2558,tr
2559,fi
2561,es
2562,lt
2563,id
2564,tr
2565,id
2566,sv
2567,fi
2569,ce
2570,es
2571,it
2573,id
2574,it
2575,fr
2578,sh
2579,ta
2580,eo
2581,id
2582,it
2584,de
2585,id
2586,fi
2587,de
2588,nl
2589,id
2590,sv
2591,fi
2592,eu
2593,fi
2595,pl
2597,it
2598,es
2599,id
2600,zh
2602,nd
2604,ca
2607,de
2608,de
2609,ta
2610,de
2611,fi
2612,fr
2613,ms
2614,pt
2617,id
2618,id
2619,de
2621,id
2622,hu
2623,id
2624,fi
2625,pt
2626,it
2628,pl
2630,nl
2631,fr
2632,id
2633,id
2634,nl
2635,eu
2636,da
2637,lt
2638,fr
2639,zh
2640,de
2642,pl
2645,fr
2646,it
2650,it
2651,de
2652,gl
2653,no
2654,es
2656,et
2657,fi
2658,nl
2659,eo
2660,fi
2665,da
2666,eo
2668,eo
2671,id
2673,nl
2674,id
2675,ce
2676,zh
2678,fr
2679,sv
2683,fr
2684,fr
2687,it
2688,fr
2689,sh
2690,cs
2692,fr
2693,vi
2694,id
2696,nn
2697,mh
2698,es
2699,id
2700,nl
2702,fi
2704,id
2705,de
2709,pt
2711,sw
2713,vi
2714,lt
2715,id
2716,cb
2717,fr
2719,eu
2720,id
2723,id
2724,pt
2725,fa
2726,tr
2727,sv
2729,it
2730,it
2731,no
2732,ce
2735,id
2736,de
2737,zh
2738,lv
2739,no
2740,it
2741,de
2742,gl
2743,et
2744,ro
2745,id
2747,fr
2748,id
2749,es
2750,ce
2751,af
2752,fr
2753,fr
2754,pl
2756,sv
2757,fr
2759,de
2760,es
2761,ms
2762,pt
2763,ja
2764,ru
2765,sv
2766,id
2767,hu
2768,ce
2770,de
2771,id
2772,de
2775,eu
2777,ms
2778,hu
2780,wa
2781,fi
2783,nl
2784,es
2786,fi
2788,tr
2790,lm
2791,fi
2792,es
2793,eo
2794,es
2800,ms
2801,wa
2802,lt
2803,fr
2806,id
2807,fi
2808,es
2809,ms
2810,ro
2811,eu
2817,id
2819,id
2820,de
2822,no
2824,pl
2825,it
2826,wa
2828,id
2829,eo
2831,it
2832,nl
2836,jv
2837,no
2838,gd
2839,no
2840,pt
2841,fr
2842,de
2843,de
2844,es
2845,ko
2846,it
2847,es
2849,it
2850,id
2851,id
2852,fr
2853,sv
2856,de
2857,fi
2859,id
2861,kw
2862,pt
2863,fr
2864,sl
2865,pl
2866,id
2870,eu
2871,ce
2873,it
2874,af
2875,id
2876,nl
2877,ms
2878,id
2879,id
2881,pl
2882,id
2883,eo
2886,as
2889,id
2891,it
2892,fi
2893,nl
2894,ms
2895,fi
2896,id
2897,tl
2898,id
2899,sv
2900,de
2902,eo
2904,hr
2905,hu
2907,id
2908,nl
2909,tl
2910,eo
2911,fr
2914,sl
2915,mg
2918,el
2923,ce
2924,de
2925,nl
2926,fi
2929,fi
2930,ms
2931,it
2935,sv
2937,it
2939,id
2944,sv
2945,jb
2946,et
2948,it
2950,it
2951,eo
2953,it
2955,nl
2956,id
2957,id
2958,es
2959,de
2960,id
2961,wa
2962,it
2963,id
2964,tr
2966,ba
2969,de
2970,id
2973,ce
2974,id
2975,ro
2977,hu
2979,ca
2980,nl
2982,ca
2984,sv
2985,fr
2986,cs
2988,id
2989,de
2990,ro
2994,th
2995,ca
2996,fi
2997,it
2998,sv
2999,pl
3000,id
3001,nl
3002,id
3003,pl
3005,cs
3006,pl
3007,sv
3008,id
3009,id
3011,fy
3012,ce
3013,hu
3016,ca
3017,id
3019,id
3020,id
3021,es
3022,eo
3025,ce
3026,ms
3028,eu
3029,it
3031,fr
3034,it
3035,id
3036,eu
3037,bn
3038,es
3040,de
3042,id
3043,sv
3044,nl
3045,ms
3047,az
3048,it
3049,de
3050,ce
3051,ms
3052,sv
3053,bg
3054,oc
3055,id
3057,ca
3059,it
3060,sl
3062,pl
3063,hu
3064,id
3065,fy
3067,pl
3068,nn
3069,hu
3070,es
3072,eo
3073,tl
3074,ca
3075,id
3076,gl
3078,fr
3079,cs
3081,id
3085,pl
3086,eu
3088,ce
3089,pt
3090,ca
3091,wa
3092,eo
3095,de
3096,de
3097,is
3099,nl
3100,id
3101,cy
3102,sq
3105,el
3106,es
3107,nl
3109,id
3110,de
3111,es
3113,nl
3114,ms
3115,fi
3116,id
3119,il
3120,da
3121,fi
3122,pl
3123,id
3124,id
3125,la
3128,tr
3129,it
3131,tr
3132,de
3134,fi
3135,es
3136,de
3138,pt
3139,es
3140,id
3141,ms
3142,de
3143,pt
3144,uk
3146,id
3147,id
3148,fa
3149,ms
3150,nl
3151,ca
3153,ms
3154,fr
3155,id
3157,ga
3158,ru
3159,fi
3160,fi
3163,it
3164,id
3165,et
3166,fi
3167,pt
3168,tr
3169,tr
3170,it
3171,hu
3172,mk
3173,fr
3174,pl
3176,nl
3177,pl
3178,eo
3179,eu
3181,id
3182,tl
3184,tr
3185,et
3186,tr
3189,de
3190,pl
3191,ur
3193,id
3194,de
3195,it
3196,ca
3197,sv
3198,ms
3201,es
3204,ro
3205,zh
3206,ko
3209,ms
3210,eu
3211,pt
3214,pt
3215,cs
3216,pt
3217,eo
3218,es
3219,lt
3220,de
3221,id
3223,fr
3225,ce
3226,es
3227,id
3228,tr
3229,gl
3235,id
3237,es
3238,pl
3239,nl
3240,nl
3241,id
3244,oc
3245,es
3246,de
3247,nl
3248,fr
3249,ps
3251,de
3252,pt
3253,fr
3254,hr
3255,id
3256,it
3257,ce
3262,it
3264,no
3265,id
3266,de
3268,de
3269,es
3270,ce
3271,id
3272,pl
3273,pt
3276,de
3277,ms
3279,id
3280,hr
3281,sw
3283,kw
3284,fi
3287,it
3290,fy
3293,fr
3294,so
3295,nl
3296,de
3297,id
3298,pt
3300,es
3301,it
3302,ru
3305,no
3306,tr
3307,fi
3308,eo
3309,hr
3310,es
3311,fr
3312,ja
3313,lt
3314,tl
3315,tr
3316,it
3317,bs
3319,fr
3322,es
3323,de
3324,zh
3325,ca
3326,it
3327,id
3330,id
3331,fr
3332,ce
3333,tr
3334,ja
3335,id
3336,ms
3337,de
3338,fr
3339,fi
3340,es
3341,id
3343,id
3344,fi
3347,id
3350,id
3351,nl
3353,es
3354,ms
3355,id
3360,tl
3363,tl
3364,id
3365,lt
3366,id
3367,uk
3368,nd
3369,id
3370,nl
3371,de
3372,id
3373,su
3375,fi
3377,nl
3380,fr
3381,de
3382,no
3383,id
3384,it
3385,de
3386,es
3387,es
3389,sv
3391,es
3392,id
3393,fi
3394,sv
3397,fr
3398,ms
3401,id
3406,pl
3407,ce
3408,no
3409,fi
3410,fr
3412,sv
3414,uz
3415,br
3417,zh
3418,sq
3419,fi
3420,id
3421,es
3423,it
3424,tr
3425,ro
3426,ms
3427,al
3429,fr
3430,it
3434,sh
3435,it
3436,pt
3439,id
3440,ce
3444,ko
3445,de
3447,id
3448,ce
3450,id
3453,sq
3454,de
3456,id
3458,fr
3459,hr
3462,pl
3463,ms
3464,hr
3465,mr
3467,it
3469,lv
3473,ms
3474,it
3476,no
3477,nl
3481,sv
3482,ms
3484,it
3486,de
3489,id
3490,nl
3491,eu
3493,fr
3495,it
3497,pt
3499,oc
3500,hy
3503,wa
3504,nl
3505,fr
3507,id
3509,sv
3510,hu
3511,id
3512,pt
3513,fr
3514,it
3516,et
3518,de
3519,et
3520,ms
3521,fi
3522,de
3526,pl
3527,it
3528,gl
3529,id
3530,hr
3533,id
3534,id
3536,uz
3538,it
3540,ku
3542,fr
3543,de
3544,eo
3545,sv
3547,tl
3549,ca
3550,fr
3552,es
3553,wa
3555,fr
3556,id
3557,hr
3558,es
3559,da
3560,es
3561,id
3562,eo
3563,eo
3565,ms
3566,de
3568,fi
3570,et
3571,ms
3572,tr
3573,vi
3575,id
3576,ms
3577,hu
3579,pl
3581,zh
3584,su
3585,de
3586,pl
3587,tr
3588,pl
3589,gv
3591,br
3592,tr
3593,it
3594,id
3597,fr
3598,eo
3600,pt
3603,id
3604,tr
3605,pl
3606,id
3607,fr
3608,ru
3609,nl
3610,sr
3613,fi
3614,id
3616,ce
3617,ms
3618,sh
3619,es
3620,es
3623,id
3624,es
3625,id
3627,id
3631,ms
3633,sl
3634,fr
3635,fi
3636,vi
3637,hu
3639,tr
3640,nl
3641,de
3642,pl
3644,id
3645,id
3646,fr
3647,sv
3648,sw
3651,ce
3652,ur
3654,id
3656,sv
3657,id
3658,id
3659,id
3661,pt
3663,ms
3665,id
3667,ro
3669,fi
3670,la
3671,id
3674,it
3675,tr
3676,ko
3678,de
3679,pl
3681,nl
3682,gv
3683,ro
3684,es
3687,no
3689,fi
3690,sv
3692,it
3695,it
3696,ce
3697,ms
3698,ca
3701,tr
3702,ms
3703,sh
3705,fr
3706,de
3707,es
3709,de
3710,nl
3711,hr
3712,pt
3713,hu
3714,lt
3716,eu
3717,ms
3719,ms
3721,it
3722,it
3723,id
3725,zh
3726,da
3730,pt
3731,nl
3733,es
3734,it
3737,hu
3738,da
3739,fi
3742,ce
3743,ms
3745,fi
3746,fr
3747,ia
3748,de
3750,hy
3751,eu
3752,fi
3753,tr
3756,nl
3757,de
3758,de
3759,it
3760,id
3762,id
3763,id
3765,id
3767,kw
3768,no
3770,de
3771,de
3772,de
3773,pl
3777,de
3778,fi
3779,pl
3781,fi
3782,de
3783,no
3785,et
3786,pt
3788,de
3790,sv
3791,lo
3792,hu
3793,it
3794,hu
3795,ar
3796,wa
3798,tr
3801,fi
3802,fr
3803,pt
3805,uk
3807,uk
3808,hu
3809,id
3810,eo
3811,id
3813,fi
3814,eu
3815,gl
3818,pl
3819,id
3820,id
3821,it
3822,jv
3825,wa
3826,sl
3827,ms
3830,pl
3831,it
3832,it
3834,qu
3836,id
3837,su
3839,zh
3840,et
3841,es
3843,id
3844,id
3845,zh
3846,no
3848,de
3849,id
3850,fr
3851,fr
3852,tl
3853,sc
3855,pl
3856,uz
3858,it
3861,fi
3862,pl
3864,ar
3865,hu
3866,es
3868,wa
3870,sh
3871,id
3872,it
3873,id
3874,et
3875,sq
3877,ja
3878,es
3879,de
3881,sc
3882,de
3884,tl
3886,id
3887,de
3890,hu
3891,sr
3892,sv
3893,nl
3894,ja
3896,pl
3898,id
3900,eu
3902,es
3903,ca
3905,hu
3906,et
3907,id
3908,lt
3909,id
3912,ro
3914,pl
3915,eo
3916,sk
3917,ht
3922,kw
